begin,YNDX,SBER,GAZP,LKOH,MGNT,ROSN,VTBR,NVTK,SNGS
2022-05-25 00:00:00,1608.0,124.15,271.4,4148.0,4576.0,378.0,0.01881,942.0,22.49
2022-05-26 00:00:00,1670.0,123.0,295.89,4263.0,4610.0,391.7,0.0188,977.4,23.22
2022-05-27 00:00:00,1644.0,121.22,294.5,4290.0,4520.0,401.5,0.0186,960.2,23.02
2022-05-30 00:00:00,1597.6,120.67,300.8,4220.0,4622.0,385.1,0.0183,944.6,23.005
2022-05-31 00:00:00,1567.8,118.3,293.75,4061.5,4640.0,377.0,0.01831,910.0,22.265
2022-06-01 00:00:00,1586.0,121.97,297.69,4074.0,4586.5,375.95,0.018495,902.0,22.2
2022-06-02 00:00:00,1592.0,119.0,296.0,4035.0,4448.0,368.75,0.017935,862.4,22.0
2022-06-03 00:00:00,1497.0,119.21,297.0,3980.5,4382.0,365.45,0.01755,817.0,21.605
2022-06-06 00:00:00,1399.8,118.78,296.5,3940.0,4223.5,368.8,0.017415,791.6,21.475
2022-06-07 00:00:00,1438.0,118.32,297.99,3959.5,4420.0,366.55,0.01721,814.6,21.735
2022-06-08 00:00:00,1456.2,119.9,308.0,3945.5,4338.0,372.85,0.01734,812.2,22.1
2022-06-09 00:00:00,1401.4,118.2,306.5,3876.0,4300.0,373.25,0.01703,815.8,21.93
2022-06-10 00:00:00,1400.8,118.07,309.2,3898.0,4241.0,369.5,0.017,798.0,22.1
2022-06-14 00:00:00,1386.0,118.98,317.69,3891.5,4200.0,371.6,0.017495,799.4,21.795
2022-06-15 00:00:00,1390.0,121.14,316.2,4115.0,4257.0,375.65,0.0176,847.0,21.815
2022-06-16 00:00:00,1456.2,123.73,316.99,4261.5,4393.0,383.0,0.017795,887.2,23.025
2022-06-17 00:00:00,1465.0,123.88,315.5,4182.0,4319.0,384.45,0.0179,875.8,22.695
2022-06-20 00:00:00,1560.8,131.29,311.98,4209.5,4370.0,389.8,0.01874,978.0,23.045
2022-06-21 00:00:00,1533.8,129.1,301.58,4045.0,4365.0,381.3,0.018205,998.0,22.61
2022-06-22 00:00:00,1600.0,133.11,295.8,4139.0,4458.0,377.6,0.01851,1026.0,22.51
2022-06-23 00:00:00,1662.0,136.85,303.5,4150.0,4405.0,378.4,0.018585,1010.0,22.52
2022-06-24 00:00:00,1645.0,137.76,296.0,4100.0,4359.0,377.0,0.0186,1003.0,22.495
2022-06-27 00:00:00,1779.0,141.15,296.2,4100.0,4360.0,376.65,0.0191,1008.0,22.88
2022-06-28 00:00:00,1750.0,139.99,297.2,3989.5,4327.0,381.85,0.0193,1005.8,26.85
2022-06-29 00:00:00,1712.0,132.8,297.65,4015.0,4316.0,384.2,0.018705,1019.0,24.9
2022-06-30 00:00:00,1603.8,125.2,207.0,3905.0,4238.0,362.25,0.01778,1024.0,24.03
2022-07-01 00:00:00,1596.0,129.91,192.5,3944.0,4155.0,375.15,0.017505,1060.2,25.11
2022-07-04 00:00:00,1660.0,131.43,186.25,3949.5,4198.0,371.6,0.01855,1025.0,25.485
2022-07-05 00:00:00,1701.4,133.5,197.3,4015.0,4314.0,371.5,0.018785,970.2,26.97
2022-07-06 00:00:00,1655.0,134.0,195.42,3962.0,4306.0,369.65,0.01872,1009.6,26.37
2022-07-07 00:00:00,1711.0,133.09,197.92,3956.0,4420.0,364.95,0.018735,998.0,26.135
2022-07-08 00:00:00,1704.0,133.3,198.0,3911.0,4439.0,351.2,0.01883,993.0,25.995
2022-07-11 00:00:00,1678.0,126.8,188.9,3848.5,4385.0,343.8,0.018325,968.6,25.185
2022-07-12 00:00:00,1660.6,129.0,191.4,3752.0,4300.0,333.5,0.018165,942.0,24.78
2022-07-13 00:00:00,1600.0,126.0,186.0,3645.5,4255.5,321.0,0.017885,916.2,24.33
2022-07-14 00:00:00,1613.6,125.9,184.55,3608.0,4228.0,315.45,0.01775,926.6,23.95
2022-07-15 00:00:00,1638.6,128.9,187.61,3709.0,4380.0,330.5,0.017985,953.0,24.55
2022-07-18 00:00:00,1696.0,128.11,186.7,3645.0,4382.0,326.0,0.01808,946.6,24.45
2022-07-19 00:00:00,1672.4,127.76,189.51,3600.0,4355.0,320.75,0.018405,928.8,24.05
2022-07-20 00:00:00,1715.4,126.44,193.3,3580.0,4315.0,330.0,0.01823,925.8,24.9
2022-07-21 00:00:00,1701.0,125.48,189.59,3539.5,4251.0,328.2,0.01818,916.0,25.77
2022-07-22 00:00:00,1800.0,128.82,192.25,3688.0,4341.0,340.0,0.01839,944.0,26.365
2022-07-25 00:00:00,1973.0,131.45,192.0,3669.0,4345.0,336.6,0.01851,960.8,27.05
2022-07-26 00:00:00,2136.0,132.9,193.95,3825.0,4512.0,347.0,0.01863,1008.0,26.785
2022-07-27 00:00:00,2072.0,132.5,196.49,3847.5,4630.0,348.7,0.01845,1038.0,26.105
2022-07-28 00:00:00,2063.0,131.72,196.25,3831.0,4765.5,344.3,0.0185,1025.2,25.88
2022-07-29 00:00:00,1952.0,131.9,195.26,3877.0,4889.0,353.0,0.018585,1052.0,28.165
2022-08-01 00:00:00,1926.2,127.34,192.0,3931.0,4800.0,348.0,0.018155,1035.0,27.425
2022-08-02 00:00:00,1891.2,127.53,187.16,3823.0,4813.0,335.8,0.01801,1009.0,26.455
2022-08-03 00:00:00,1956.0,126.85,187.04,3799.0,4910.0,330.25,0.0178,988.0,26.005
2022-08-04 00:00:00,2000.0,126.95,184.9,3720.0,4883.0,324.6,0.017945,1003.6,26.345
2022-08-05 00:00:00,1837.0,122.4,176.58,3679.5,4799.5,322.7,0.01762,975.0,25.39
2022-08-08 00:00:00,1933.0,123.81,177.86,3720.0,4880.0,327.35,0.017655,1009.8,25.64
2022-08-09 00:00:00,1944.4,126.4,181.04,3895.0,5032.5,339.65,0.01792,1021.0,26.255
2022-08-10 00:00:00,1971.8,126.2,178.81,3890.0,5024.0,339.5,0.01807,1039.8,26.83
2022-08-11 00:00:00,1915.6,123.45,174.1,3925.0,5002.5,333.0,0.01785,1020.0,26.75
2022-08-12 00:00:00,1903.0,124.88,174.36,3940.5,5134.0,336.2,0.017955,1036.0,26.54
2022-08-15 00:00:00,1904.0,125.0,174.8,3959.0,5159.5,335.9,0.018,1065.0,26.49
