dollar_curs,date2,data,rate,inflation,euro_curs,pound_curs,yuan_curs
91.8692,2024-02,2024-02-29 00:00:00,16.0,7.69,99.45,116.5177,12.7085
92.0425,2024-02,2024-02-28 00:00:00,16.0,7.69,99.45,116.5177,12.7085
92.6321,2024-02,2024-02-27 00:00:00,16.0,7.69,99.45,116.5177,12.7085
92.7519,2024-02,2024-02-23 00:00:00,16.0,7.69,99.45,116.5177,12.7085
92.4387,2024-02,2024-02-22 00:00:00,16.0,7.69,99.45,116.5177,12.7085
92.349,2024-02,2024-02-21 00:00:00,16.0,7.69,99.45,116.5177,12.7085
92.4102,2024-02,2024-02-20 00:00:00,16.0,7.69,99.45,116.5177,12.7085
92.5492,2024-02,2024-02-17 00:00:00,16.0,7.69,99.45,116.5177,12.7085
91.8237,2024-02,2024-02-16 00:00:00,16.0,7.69,99.45,116.5177,12.7085
91.4316,2024-02,2024-02-15 00:00:00,16.0,7.69,99.45,116.5177,12.7085
91.2057,2024-02,2024-02-14 00:00:00,16.0,7.69,99.45,116.5177,12.7085
91.0758,2024-02,2024-02-13 00:00:00,16.0,7.69,99.45,116.5177,12.7085
90.8901,2024-02,2024-02-10 00:00:00,16.0,7.69,99.45,116.5177,12.7085
91.2561,2024-02,2024-02-09 00:00:00,16.0,7.69,99.45,116.5177,12.7085
91.1514,2024-02,2024-02-08 00:00:00,16.0,7.69,99.45,116.5177,12.7085
90.6842,2024-02,2024-02-07 00:00:00,16.0,7.69,99.45,116.5177,12.7085
91.2434,2024-02,2024-02-06 00:00:00,16.0,7.69,99.45,116.5177,12.7085
90.6626,2024-02,2024-02-03 00:00:00,16.0,7.69,99.45,116.5177,12.7085
90.2299,2024-02,2024-02-02 00:00:00,16.0,7.69,99.45,116.5177,12.7085
89.6678,2024-02,2024-02-01 00:00:00,16.0,7.69,99.45,116.5177,12.7085
89.2887,2024-01,2024-01-31 00:00:00,16.0,7.44,96.7895,113.2002,12.4066
